team,player,role,projected_minutes,minutes_floor,minutes_ceiling,is_starter,is_closer,rotation_confidence,notes
NYK,Jalen Brunson,Starter,36.4,31.0,41.0,True,True,high,"G1:37.1 G2:37.7 G3:35.5. Still the engine but 5 fouls and 5 TOs in G3 — discipline is critical heading into G4."
NYK,OG Anunoby,Starter,36.2,31.0,41.0,True,True,high,"G1:31.1 G2:36.8 G3:38.0. Best game of the series in G3 (28 pts, 9/13 FG). Heavy workload trending up."
NYK,Josh Hart,Starter,28.3,20.0,35.0,True,True,medium,"G1:26.8(4PF) G2:18.2(5PF) G3:34.9(2PF). Major bounce-back in G3 — 16 pts 9 reb only 2 fouls. Confidence restored; floor raised back up."
NYK,Mikal Bridges,Starter,32.3,25.0,39.0,True,True,medium,"G1:28.2(9pts) G2:40.9(20pts) G3:28.7(2pts). Wildly inconsistent. 4 fouls in G3. Cannot count on him as a consistent co-star."
NYK,Karl-Anthony Towns,Starter,36.1,30.0,41.0,True,True,high,"G1:34.4 G2:33.9 G3:38.0. Played heavy minutes but went quiet offensively (11 pts) against Wemby. Minutes up even if scoring dipped."
NYK,Landry Shamet,Bench,27.4,21.0,33.0,False,True,medium,"G1:33.3 G2:30.2 G3:23.4. Minutes declining each game. Went 1/8 from 3 in G3 — cold shooting eroding his role. Confidence downgraded."
NYK,Miles McBride,Bench,13.7,8.0,20.0,False,False,low,"G1:19.5 G2:18.3 G3:9.0. Lost significant minutes in G3. Getting crowded out of the rotation."
NYK,Jordan Clarkson,Bench,7.8,2.0,14.0,False,False,low,"G1:5.7 G2:DNP G3:13.3(10pts). Came back in G3 and contributed. Emergency option; minutes dependent on game flow."
NYK,Mitchell Robinson,Bench,10.4,5.0,16.0,False,False,low,"G1:13.2 G2:14.1 G3:7.0. Reduced role in G3. Matchup-dependent."
NYK,Jose Alvarado,Reserve,11.4,6.0,16.0,False,False,low,"G1:10.9 G2:10.1 G3:12.4. Consistent reserve minutes. Defensive energy role."
NYK,Jeremy Sochan,Reserve,4.0,0.0,10.0,False,False,low,DNP all 3 games. Emergency option only.
NYK,Pacome Dadiet,Reserve,4.0,0.0,8.0,False,False,low,DNP all 3 games.
NYK,Ariel Hukporti,Reserve,4.0,0.0,8.0,False,False,low,DNP all 3 games.
NYK,Mohamed Diawara,Reserve,4.0,0.0,8.0,False,False,low,DNP all 3 games.
NYK,Tyler Kolek,Reserve,4.0,0.0,8.0,False,False,low,DNP all 3 games.
SAS,Victor Wembanyama,Starter,39.0,34.0,44.0,True,True,high,"G1:37.8 G2:40.3 G3:38.7. Unstoppable in G3 — 32 pts on 11/18 (61% FG) 8 reb 6 ast 1 TO. Locked into heavy minutes."
SAS,Devin Vassell,Starter,37.7,32.0,42.0,True,True,high,"G1:36.0 G2:38.0 G3:38.1. Iron man minutes. Consistent two-way presence, 3/4 from 3 in G3."
SAS,De'Aaron Fox,Starter,36.1,30.0,41.0,True,True,high,"G1:37.9 G2:33.8 G3:36.7. 8 assists in G3 — finding his playmaking role. 2 TOs, much better decision-making."
SAS,Stephon Castle,Starter,34.2,28.0,40.0,True,True,high,"G1:34.5(2TO) G2:27.7(4TO) G3:38.0(2TO). Major bounce-back — 23 pts and cut TOs to 2. Confidence restored to high."
SAS,Julian Champagnie,Starter,30.4,24.0,36.0,True,True,medium,"G1:31.2 G2:36.0 G3:26.7. Minutes and production inconsistent. 3/7 from 3 in G3 — shooting presence still valuable."
SAS,Dylan Harper,Bench,31.2,25.0,37.0,False,True,high,"G1:27.5 G2:32.3 G3:32.0(13pts 9reb). Career performance in G3. Locked into ~32 min as a key rotation piece."
SAS,Keldon Johnson,Bench,14.8,9.0,21.0,False,False,medium,"G1:8.3(0pts) G2:15.7(3pts) G3:16.8(7pts). Finally contributing after invisible start to series. Trending up; confidence raised."
SAS,Luke Kornet,Bench,9.0,4.0,15.0,False,False,low,"G1:10.2 G2:7.8 G3:9.3. Stable spot minutes. Situational big."
SAS,Harrison Barnes,Reserve,3.9,0.0,10.0,False,False,low,"G1:12.1 G2:4.8 G3:DNP. Fading from rotation."
SAS,Carter Bryant,Reserve,3.8,0.0,8.0,False,False,low,"G1:4.4 G2:3.3 G3:3.8. Mop-up only."
SAS,Jordan McLaughlin,Reserve,4.6,0.0,9.6,False,False,low,DNP all 3 games.
SAS,Kelly Olynyk,Reserve,3.9,0.0,8.9,False,False,low,DNP all 3 games.
SAS,Lindy Waters III,Reserve,3.8,0.0,8.8,False,False,low,DNP all 3 games.
SAS,Bismack Biyombo,Reserve,2.0,0.0,6.0,False,False,low,DNP all 3 games.
SAS,Mason Plumlee,Reserve,2.0,0.0,6.0,False,False,low,DNP all 3 games.
